portfolio_id,return
PF00001001,0.02356761825746634
PF00001004,0.014871506024950354
PF00001009,0.022386956729433694
PF00001013,0.024565960286882293
PF00001014,0.022674279783093
PF00001015,0.028537641657504276
PF00001017,0.022320495053251066
PF00001023,0.022044024150974395
PF00001024,0.024222525069591216
PF00001025,0.03641156567128556
PF00001028,0.02372627264550975
PF00001032,0.021962800674205418
PF00001036,0.022633744844328674
PF00001041,0.025109180671816
PF00001045,0.014844492894776407
PF00001047,0.022530113216831293
PF00001049,0.023029797104363703
PF00001053,0.0366337764262622
PF00001060,0.023247793313776022
PF00001067,0.02350023817161817
PF00001068,0.02390900158979614
PF00001069,0.0249876738671434
PF00001077,0.02420033807660893
PF00001078,0.02493024221913287
PF00001085,0.016322523425855717
PF00001086,0.03594348874825015
PF00001087,0.024620693722514297
PF00001088,0.024021447835184007
PF00001092,0.024430344490053768
PF00001095,0.016083092440506097
PF00001099,0.027123810429671602
PF00001100,0.027681563064547055
PF00001104,0.02395653247527707
PF00001105,0.024805881884053194
PF00001107,0.0254197456716011
PF00001108,0.035696750019292955
PF00001112,0.025483701125404656
PF00001119,0.016772919956481225
PF00001123,0.01700315679588249
PF00001126,0.02459395447717394
PF00001132,0.03160836970037806
PF00001135,0.02554927702283183
PF00001145,0.017327179828136252
PF00001148,0.02727405954591855
PF00001153,0.018778203356910717
PF00001155,0.03586937212778096
PF00001161,0.02594679619137863
PF00001164,0.01860270844459677
PF00001165,0.018240088643780128
PF00001171,0.033137030033780435
PF00001178,0.026581536874006995
PF00001179,0.028838068694511554
PF00001180,0.033245870587031434
PF00001194,0.02612046561179382
PF00001199,0.029253132519693525
PF00001198,0.025575575896381042
PF00001203,0.026185604956518338
PF00001204,0.018148830325553145
PF00001209,0.03304271156329641
PF00001210,0.019881424093349698
PF00001218,0.027747963186105395
PF00001220,0.03061863223627148
PF00001223,0.028652864925708288
PF00001225,0.019673375986601016
PF00001227,0.02710114874063374
PF00001230,0.03302210452008869
PF00001233,0.02772169503072941
PF00001236,0.026979476280021952
PF00001238,0.02681843149042107
PF00001239,0.03160121195223353
PF00001241,0.031438429574724536
PF00001243,0.01891698700560418
PF00001244,0.02587626904836604
PF00001245,0.034879530130925374
PF00001253,0.027469751737215775
PF00001255,0.018230179180566464
PF00001258,0.026015192991769354
PF00001260,0.026933650153242117
PF00001262,0.02718852764398394
PF00001264,0.026077764825790717
PF00001265,0.026476711251050444
PF00001270,0.036256254251105124
PF00001274,0.027382054281772317
PF00001277,0.02773582517959483
PF00001282,0.027138446907821523
PF00001283,0.019222516718443106
PF00001285,0.029440943267279196
PF00001288,0.02838867178590332
PF00001290,0.020750916097840855
PF00001294,0.028130750083192324
PF00001296,0.03140707434795553
PF00001303,0.02048833864712818
PF00001305,0.028146527323350323
PF00001306,0.028763661446507882
PF00001309,0.03084606628713371
PF00001310,0.027849294802906988
PF00001312,0.028959959093142307
PF00001313,0.031916946933950086
PF00001316,0.028083589531922692
PF00001319,0.028402883327676376
PF00001324,0.027951846466105157
PF00001325,0.030946040621241178
PF00001331,0.027910953976801767
PF00001333,0.03146941911627743
PF00001334,0.028441533533223762
PF00001335,0.021329945009079476
PF00001340,0.031889653871633006
PF00001345,0.02107187931754173
PF00001348,0.03169514123601025
PF00001352,0.029093174114251164
PF00001354,0.03001859079947855
PF00001355,0.02836972274253402
PF00001356,0.02820068030692824
PF00001368,0.029448106977797428
PF00001370,0.04145132738242796
PF00001372,0.029999470842227982
PF00001375,0.029446596108677836
PF00001382,0.021858409103879817
PF00001384,0.03029065233449324
PF00001388,0.030704311178843313
PF00001389,0.030305109826877952
PF00001391,0.031017918555126034
PF00001412,0.01973128305711025
PF00001419,0.03753376991745494
PF00001424,0.035317549992587405
PF00001427,0.03458963169167695
PF00001428,0.03179943320932177
PF00001430,0.03203142263573944
PF00001432,0.022508728161793168
PF00001433,0.03263754037234168
PF00001438,0.03163689177121276
PF00001440,0.030157790667959095
PF00001441,0.032917711087770196
PF00001446,0.03255567383805702
PF00001450,0.03225762397662313
PF00001453,0.022376131746151384
PF00001456,0.03300174937156042
PF00001458,0.03405277591741884
PF00001463,0.03420638680393995
PF00001464,0.03577745698279733
PF00001471,0.03474316766809904
